,input,,,,output,,,,,,Link,,,
,Term,1,2,3,,4,5,6,7,,8,9,10,11
A,10,11,12,13,0,50,50,50,50,0,10,10,10,10
B,30,33,36,39,0,150,150,150,150,0,20,25,30,35
C,20,22,24,26,0,50,100,150,180,0,30,30,30,30
D,30,33,36,39,0,100,120,150,180,0,15,20,25,30
E,30,33,36,39,0,150,135,120,105,0,20,25,30,35
F,10,11,12,13,0,100,90,40,35,0,10,10,10,10
G,30,33,36,39,0,100,180,95,200,0,20,30,40,50
H,20,22,24,26,0,100,40,150,100,0,10,10,10,10
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
A,0,0,0,,,,,,,,,,,
1,10,50,10,,,,,,,,,,,
2,11,50,10,,,,,,,,,,,
3,12,50,10,,,,,,,,,,,
4,13,50,10,,,,,,,,,,,
B,0,0,0,,,,,,,,,,,
1,30,150,20,,,,,,,,,,,
2,33,150,25,,,,,,,,,,,
3,36,150,30,,,,,,,,,,,
4,39,150,35,,,,,,,,,,,
C,0,0,0,,,,,,,,,,,
1,20,50,30,,,,,,,,,,,
2,22,100,30,,,,,,,,,,,
3,24,150,30,,,,,,,,,,,
4,26,180,30,,,,,,,,,,,
D,0,0,0,,,,,,,,,,,
1,30,100,15,,,,,,,,,,,
2,33,120,20,,,,,,,,,,,
3,36,150,25,,,,,,,,,,,
4,39,180,30,,,,,,,,,,,
E,0,0,0,,,,,,,,,,,
1,30,150,20,,,,,,,,,,,
2,33,135,25,,,,,,,,,,,
3,36,120,30,,,,,,,,,,,
4,39,105,35,,,,,,,,,,,
F,0,0,0,,,,,,,,,,,
1,10,100,10,,,,,,,,,,,
2,11,90,10,,,,,,,,,,,
3,12,40,10,,,,,,,,,,,
4,13,35,10,,,,,,,,,,,
G,0,0,0,,,,,,,,,,,
1,30,100,20,,,,,,,,,,,
2,33,180,30,,,,,,,,,,,
3,36,95,40,,,,,,,,,,,
4,39,200,50,,,,,,,,,,,
H,0,0,0,,,,,,,,,,,
1,20,100,10,,,,,,,,,,,
2,22,40,10,,,,,,,,,,,
3,24,150,10,,,,,,,,,,,
4,26,100,10,,,,,,,,,,,
